"Time (hrs)","Xen20 - QVDOPH","Xen20 - QVDOPH","Xen20 - QVDOPH","Xen20 +10ug/mL QVDOPH","Xen20 +10ug/mL QVDOPH","Xen20 +10ug/mL QVDOPH","Xen20 + 100ug/mL QVDOPH","Xen20 + 100ug/mL QVDOPH","Xen20 + 100ug/mL QVDOPH","Xen20 + 20mg/Kg (35gms) QVDOPH","Xen20 + 20mg/Kg (35gms) QVDOPH","Xen20 + 20mg/Kg (35gms) QVDOPH"
0.000000000,0.007000000,0.003000000,0.006000000,0.006000,0.003000,0.002000,0.006000,0.002000,-0.002000,0.006000,0.002000,0.006000
0.333333333,0.007000000,0.002000000,0.006000000,0.006000,0.002000,0.002000,0.005000,0.001000,-0.002000,0.006000,0.002000,0.005000
0.666666667,0.007000000,0.002000000,0.006000000,0.006000,0.002000,0.003000,0.005000,0.002000,-0.002000,0.006000,0.003000,0.005000
1.000000000,0.007000000,0.003000000,0.007000000,0.007000,0.003000,0.003000,0.005000,0.001000,-0.002000,0.007000,0.003000,0.005000
1.333333333,0.007000000,0.003000000,0.007000000,0.007000,0.003000,0.004000,0.006000,0.002000,-0.001000,0.007000,0.004000,0.006000
1.666666667,0.008000000,0.003000000,0.007000000,0.007000,0.003000,0.004000,0.006000,0.003000,-0.001000,0.007000,0.004000,0.006000
2.000000000,0.009000000,0.004000000,0.008000000,0.008000,0.004000,0.004000,0.007000,0.003000,-0.001000,0.008000,0.004000,0.007000
2.333333333,0.008000000,0.004000000,0.008000000,0.008000,0.004000,0.004000,0.007000,0.003000,0.000000,0.008000,0.004000,0.007000
2.666666667,0.009000000,0.005000000,0.009000000,0.009000,0.005000,0.005000,0.008000,0.004000,0.000000,0.009000,0.005000,0.008000
3.000000000,0.011000000,0.006000000,0.010000000,0.010000,0.006000,0.007000,0.009000,0.005000,0.002000,0.010000,0.007000,0.009000
3.333333333,0.011000000,0.008000000,0.013000000,0.013000,0.008000,0.008000,0.010000,0.007000,0.004000,0.013000,0.008000,0.010000
3.666666667,0.013000000,0.011000000,0.015000000,0.015000,0.011000,0.012000,0.013000,0.010000,0.006000,0.015000,0.012000,0.013000
4.000000000,0.016000000,0.015000000,0.021000000,0.021000,0.015000,0.017000,0.016000,0.014000,0.011000,0.021000,0.017000,0.016000
4.333333333,0.020000000,0.022000000,0.028000000,0.028000,0.022000,0.023000,0.021000,0.020000,0.017000,0.028000,0.023000,0.021000
4.666666667,0.025000000,0.030000000,0.039000000,0.039000,0.030000,0.032000,0.029000,0.027000,0.025000,0.039000,0.032000,0.029000
5.000000000,0.032000000,0.041000000,0.051000000,0.051000,0.041000,0.045000,0.039000,0.039000,0.036000,0.051000,0.045000,0.039000
5.333333333,0.044000000,0.056000000,0.069000000,0.069000,0.056000,0.060000,0.052000,0.054000,0.051000,0.069000,0.060000,0.052000
5.666666667,0.059000000,0.075000000,0.089000000,0.089000,0.075000,0.082000,0.071000,0.074000,0.070000,0.089000,0.082000,0.071000
6.000000000,0.078000000,0.102000000,0.119000000,0.119000,0.102000,0.113000,0.095000,0.101000,0.096000,0.119000,0.113000,0.095000
6.333333333,0.103000000,0.141000000,0.164000000,0.164000,0.141000,0.155000,0.129000,0.140000,0.135000,0.164000,0.155000,0.129000
6.666666667,0.137000000,0.197000000,0.226000000,0.226000,0.197000,0.216000,0.177000,0.195000,0.189000,0.226000,0.216000,0.177000
7.000000000,0.185000000,0.267000000,0.302000000,0.302000,0.267000,0.293000,0.239000,0.262000,0.257000,0.302000,0.293000,0.239000
7.333333333,0.244000000,0.348000000,0.381000000,0.381000,0.348000,0.379000,0.309000,0.340000,0.331000,0.381000,0.379000,0.309000
7.666666667,0.303000000,0.416000000,0.449000000,0.449000,0.416000,0.443000,0.372000,0.402000,0.389000,0.449000,0.443000,0.372000
8.000000000,0.353000000,0.462000000,0.493000000,0.493000,0.462000,0.491000,0.421000,0.446000,0.426000,0.493000,0.491000,0.421000
8.333333333,0.393000000,0.500000000,0.528000000,0.528000,0.500000,0.545000,0.454000,0.477000,0.469000,0.528000,0.545000,0.454000
8.666666667,0.419000000,0.544000000,0.569000000,0.569000,0.544000,0.596000,0.481000,0.507000,0.518000,0.569000,0.596000,0.481000
9.000000000,0.438000000,0.581000000,0.604000000,0.604000,0.581000,0.633000,0.511000,0.544000,0.560000,0.604000,0.633000,0.511000
9.333333333,0.449000000,0.610000000,0.630000000,0.630000,0.610000,0.660000,0.543000,0.576000,0.592000,0.630000,0.660000,0.543000
9.666666667,0.455000000,0.630000000,0.648000000,0.648000,0.630000,0.676000,0.571000,0.599000,0.612000,0.648000,0.676000,0.571000
10.000000000,0.458000000,0.644000000,0.664000000,0.664000,0.644000,0.689000,0.590000,0.615000,0.626000,0.664000,0.689000,0.590000
