"Time (hrs)","Xen41 - QVDOPH","Xen41 - QVDOPH","Xen41 - QVDOPH","Xen41 +10ug/mL QVDOPH","Xen41 +10ug/mL QVDOPH","Xen41 +10ug/mL QVDOPH","Xen41 +100ug/mL QVDOPH","Xen41 +100ug/mL QVDOPH","Xen41 +100ug/mL QVDOPH","Xen41 + 20mg/kg (35gms) QVDOPH","Xen41 + 20mg/kg (35gms) QVDOPH","Xen41 + 20mg/kg (35gms) QVDOPH"
0.000000000,0.011000000,0.010000000,0.002000000,0.014000,0.010000,0.006000,0.006000,0.007000,0.003000,0.010000,0.006000,0.002000
0.333333333,0.014000000,0.012000000,0.004000000,0.014000,0.010000,0.005000,0.007000,0.008000,0.004000,0.010000,0.007000,0.004000
0.666666667,0.016000000,0.014000000,0.006000000,0.016000,0.012000,0.007000,0.009000,0.010000,0.006000,0.012000,0.009000,0.006000
1.000000000,0.020000000,0.018000000,0.009000000,0.019000,0.014000,0.009000,0.012000,0.011000,0.008000,0.014000,0.012000,0.009000
1.333333333,0.027000000,0.024000000,0.013000000,0.025000,0.019000,0.013000,0.017000,0.016000,0.011000,0.019000,0.017000,0.013000
1.666666667,0.045000000,0.039000000,0.024000000,0.040000,0.034000,0.026000,0.031000,0.031000,0.021000,0.034000,0.031000,0.024000
2.000000000,0.082000000,0.071000000,0.055000000,0.060000,0.065000,0.065000,0.053000,0.055000,0.048000,0.065000,0.053000,0.055000
2.333333333,0.128000000,0.109000000,0.103000000,0.129000,0.119000,0.115000,0.128000,0.126000,0.104000,0.119000,0.128000,0.103000
2.666666667,0.181000000,0.169000000,0.151000000,0.180000,0.173000,0.166000,0.171000,0.173000,0.156000,0.173000,0.171000,0.151000
3.000000000,0.236000000,0.226000000,0.205000000,0.217000,0.214000,0.205000,0.192000,0.200000,0.196000,0.214000,0.192000,0.205000
3.333333333,0.288000000,0.273000000,0.255000000,0.252000,0.252000,0.238000,0.228000,0.232000,0.240000,0.252000,0.228000,0.255000
3.666666667,0.332000000,0.323000000,0.307000000,0.290000,0.300000,0.283000,0.282000,0.285000,0.287000,0.300000,0.282000,0.307000
4.000000000,0.382000000,0.363000000,0.337000000,0.353000,0.351000,0.340000,0.326000,0.332000,0.338000,0.351000,0.326000,0.337000
4.333333333,0.420000000,0.412000000,0.381000000,0.370000,0.387000,0.372000,0.366000,0.396000,0.380000,0.387000,0.366000,0.381000
4.666666667,0.452000000,0.436000000,0.404000000,0.384000,0.420000,0.392000,0.408000,0.416000,0.403000,0.420000,0.408000,0.404000
5.000000000,0.488000000,0.476000000,0.462000000,0.455000,0.457000,0.442000,0.436000,0.455000,0.442000,0.457000,0.436000,0.462000
5.333333333,0.536000000,0.529000000,0.526000000,0.508000,0.505000,0.502000,0.480000,0.495000,0.491000,0.505000,0.480000,0.526000
5.666666667,0.601000000,0.597000000,0.584000000,0.577000,0.574000,0.558000,0.554000,0.548000,0.539000,0.574000,0.554000,0.584000
6.000000000,0.694000000,0.684000000,0.670000000,0.641000,0.634000,0.620000,0.623000,0.604000,0.587000,0.634000,0.623000,0.670000
6.333333333,0.829000000,0.804000000,0.810000000,0.760000,0.762000,0.742000,0.677000,0.681000,0.662000,0.762000,0.677000,0.810000
6.666666667,1.012000000,0.983000000,0.967000000,0.971000,0.961000,0.906000,0.798000,0.787000,0.794000,0.961000,0.798000,0.967000
7.000000000,1.110000000,1.091000000,1.052000000,1.104000,1.097000,1.030000,0.994000,1.001000,0.981000,1.097000,0.994000,1.052000
7.333333333,1.151000000,1.162000000,1.108000000,1.159000,1.157000,1.093000,1.125000,1.118000,1.091000,1.157000,1.125000,1.108000
7.666666667,1.181000000,1.176000000,1.138000000,1.193000,1.185000,1.133000,1.163000,1.178000,1.154000,1.185000,1.163000,1.138000
8.000000000,1.196000000,1.190000000,1.149000000,1.227000,1.204000,1.154000,1.194000,1.199000,1.179000,1.204000,1.194000,1.149000
8.333333333,1.201000000,1.192000000,1.146000000,1.244000,1.209000,1.162000,1.225000,1.217000,1.201000,1.209000,1.225000,1.146000
8.666666667,1.195000000,1.199000000,1.147000000,1.245000,1.199000,1.161000,1.244000,1.224000,1.202000,1.199000,1.244000,1.147000
9.000000000,1.210000000,1.210000000,1.154000000,1.208000,1.190000,1.163000,1.226000,1.237000,1.209000,1.190000,1.226000,1.154000
9.333333333,1.164000000,1.167000000,1.140000000,1.223000,1.166000,1.157000,1.236000,1.210000,1.213000,1.166000,1.236000,1.140000
9.666666667,1.130000000,1.118000000,1.107000000,1.187000,1.148000,1.130000,1.211000,1.189000,1.177000,1.148000,1.211000,1.107000
10.000000000,1.114000000,1.086000000,1.074000000,1.145000,1.098000,1.101000,1.159000,1.144000,1.145000,1.098000,1.159000,1.074000
